image,mask,label,split,class_id,class_name,subpixel,center_x,center_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2
train/images/single_rgb_000057.png,train/masks/single_rgb_000057_mask.png,train/labels/single_rgb_000057.txt,train,2,circle,G,71,69,65,63,77,75
train/images/single_rgb_000058.png,train/masks/single_rgb_000058_mask.png,train/labels/single_rgb_000058.txt,train,0,point,G,59,90,55,86,63,94
train/images/single_rgb_000059.png,train/masks/single_rgb_000059_mask.png,train/labels/single_rgb_000059.txt,train,3,line_h,G,63,93,46,90,80,96
train/images/single_rgb_000060.png,train/masks/single_rgb_000060_mask.png,train/labels/single_rgb_000060.txt,train,3,line_h,G,75,44,62,41,88,47
train/images/single_rgb_000061.png,train/masks/single_rgb_000061_mask.png,train/labels/single_rgb_000061.txt,train,4,line_v,B,102,49,100,25,104,73
train/images/single_rgb_000062.png,train/masks/single_rgb_000062_mask.png,train/labels/single_rgb_000062.txt,train,2,circle,B,105,83,93,71,117,95
train/images/single_rgb_000063.png,train/masks/single_rgb_000063_mask.png,train/labels/single_rgb_000063.txt,train,4,line_v,R,31,40,28,16,34,64
train/images/single_rgb_000064.png,train/masks/single_rgb_000064_mask.png,train/labels/single_rgb_000064.txt,train,3,line_h,B,96,91,71,88,121,94
train/images/single_rgb_000065.png,train/masks/single_rgb_000065_mask.png,train/labels/single_rgb_000065.txt,train,2,circle,R,34,95,26,87,42,103
train/images/single_rgb_000066.png,train/masks/single_rgb_000066_mask.png,train/labels/single_rgb_000066.txt,train,2,circle,G,60,30,48,18,72,42
train/images/single_rgb_000067.png,train/masks/single_rgb_000067_mask.png,train/labels/single_rgb_000067.txt,train,1,square,R,27,100,22,95,32,105
train/images/single_rgb_000068.png,train/masks/single_rgb_000068_mask.png,train/labels/single_rgb_000068.txt,train,2,circle,B,98,49,85,36,111,62
train/images/single_rgb_000069.png,train/masks/single_rgb_000069_mask.png,train/labels/single_rgb_000069.txt,train,2,circle,B,102,79,89,66,115,92
train/images/single_rgb_000070.png,train/masks/single_rgb_000070_mask.png,train/labels/single_rgb_000070.txt,train,2,circle,R,38,92,27,81,49,103
train/images/single_rgb_000071.png,train/masks/single_rgb_000071_mask.png,train/labels/single_rgb_000071.txt,train,1,square,G,66,97,58,89,74,105
train/images/single_rgb_000072.png,train/masks/single_rgb_000072_mask.png,train/labels/single_rgb_000072.txt,train,0,point,B,101,53,99,51,103,55
train/images/single_rgb_000073.png,train/masks/single_rgb_000073_mask.png,train/labels/single_rgb_000073.txt,train,2,circle,R,36,29,27,20,45,38
train/images/single_rgb_000074.png,train/masks/single_rgb_000074_mask.png,train/labels/single_rgb_000074.txt,train,0,point,G,59,39,57,37,61,41
train/images/single_rgb_000075.png,train/masks/single_rgb_000075_mask.png,train/labels/single_rgb_000075.txt,train,1,square,G,73,73,65,65,81,81
train/images/single_rgb_000076.png,train/masks/single_rgb_000076_mask.png,train/labels/single_rgb_000076.txt,train,2,circle,R,36,90,22,76,50,104
train/images/single_rgb_000077.png,train/masks/single_rgb_000077_mask.png,train/labels/single_rgb_000077.txt,train,2,circle,R,25,60,11,46,39,74
train/images/single_rgb_000078.png,train/masks/single_rgb_000078_mask.png,train/labels/single_rgb_000078.txt,train,1,square,B,107,84,101,78,113,90
train/images/single_rgb_000079.png,train/masks/single_rgb_000079_mask.png,train/labels/single_rgb_000079.txt,train,2,circle,B,100,99,92,91,108,107
train/images/single_rgb_000080.png,train/masks/single_rgb_000080_mask.png,train/labels/single_rgb_000080.txt,train,2,circle,B,109,70,100,61,118,79
train/images/single_rgb_000081.png,train/masks/single_rgb_000081_mask.png,train/labels/single_rgb_000081.txt,train,3,line_h,R,30,92,15,90,45,94
train/images/single_rgb_000082.png,train/masks/single_rgb_000082_mask.png,train/labels/single_rgb_000082.txt,train,0,point,B,98,77,95,74,101,80
train/images/single_rgb_000083.png,train/masks/single_rgb_000083_mask.png,train/labels/single_rgb_000083.txt,train,4,line_v,B,106,88,104,73,108,103
train/images/single_rgb_000084.png,train/masks/single_rgb_000084_mask.png,train/labels/single_rgb_000084.txt,train,3,line_h,R,27,62,17,60,37,64
train/images/single_rgb_000085.png,train/masks/single_rgb_000085_mask.png,train/labels/single_rgb_000085.txt,train,1,square,G,58,96,51,89,65,103
train/images/single_rgb_000086.png,train/masks/single_rgb_000086_mask.png,train/labels/single_rgb_000086.txt,train,0,point,G,67,39,63,35,71,43
train/images/single_rgb_000087.png,train/masks/single_rgb_000087_mask.png,train/labels/single_rgb_000087.txt,train,4,line_v,G,60,89,59,66,61,112
train/images/single_rgb_000088.png,train/masks/single_rgb_000088_mask.png,train/labels/single_rgb_000088.txt,train,2,circle,B,95,58,82,45,108,71
train/images/single_rgb_000089.png,train/masks/single_rgb_000089_mask.png,train/labels/single_rgb_000089.txt,train,1,square,R,23,62,19,58,27,66
train/images/single_rgb_000090.png,train/masks/single_rgb_000090_mask.png,train/labels/single_rgb_000090.txt,train,4,line_v,B,101,34,99,22,103,46
train/images/single_rgb_000091.png,train/masks/single_rgb_000091_mask.png,train/labels/single_rgb_000091.txt,train,0,point,R,24,100,22,98,26,102
train/images/single_rgb_000092.png,train/masks/single_rgb_000092_mask.png,train/labels/single_rgb_000092.txt,train,1,square,R,33,43,29,39,37,47
train/images/single_rgb_000093.png,train/masks/single_rgb_000093_mask.png,train/labels/single_rgb_000093.txt,train,3,line_h,B,94,78,72,76,116,80
train/images/single_rgb_000094.png,train/masks/single_rgb_000094_mask.png,train/labels/single_rgb_000094.txt,train,4,line_v,R,30,83,27,58,33,108
train/images/single_rgb_000095.png,train/masks/single_rgb_000095_mask.png,train/labels/single_rgb_000095.txt,train,3,line_h,G,58,65,36,64,80,66
train/images/single_rgb_000096.png,train/masks/single_rgb_000096_mask.png,train/labels/single_rgb_000096.txt,train,0,point,R,20,65,18,63,22,67
train/images/single_rgb_000097.png,train/masks/single_rgb_000097_mask.png,train/labels/single_rgb_000097.txt,train,2,circle,B,104,79,95,70,113,88
train/images/single_rgb_000098.png,train/masks/single_rgb_000098_mask.png,train/labels/single_rgb_000098.txt,train,4,line_v,G,60,91,57,75,63,107
train/images/single_rgb_000099.png,train/masks/single_rgb_000099_mask.png,train/labels/single_rgb_000099.txt,train,0,point,G,71,46,67,42,75,50
train/images/single_rgb_000100.png,train/masks/single_rgb_000100_mask.png,train/labels/single_rgb_000100.txt,train,0,point,B,109,51,107,49,111,53
train/images/single_rgb_000101.png,train/masks/single_rgb_000101_mask.png,train/labels/single_rgb_000101.txt,train,3,line_h,G,71,39,47,36,95,42
train/images/single_rgb_000102.png,train/masks/single_rgb_000102_mask.png,train/labels/single_rgb_000102.txt,train,2,circle,R,40,51,30,41,50,61
train/images/single_rgb_000103.png,train/masks/single_rgb_000103_mask.png,train/labels/single_rgb_000103.txt,train,0,point,G,60,95,57,92,63,98
train/images/single_rgb_000104.png,train/masks/single_rgb_000104_mask.png,train/labels/single_rgb_000104.txt,train,4,line_v,R,24,40,21,19,27,61
train/images/single_rgb_000105.png,train/masks/single_rgb_000105_mask.png,train/labels/single_rgb_000105.txt,train,2,circle,R,26,37,18,29,34,45
train/images/single_rgb_000106.png,train/masks/single_rgb_000106_mask.png,train/labels/single_rgb_000106.txt,train,1,square,R,38,81,33,76,43,86
train/images/single_rgb_000107.png,train/masks/single_rgb_000107_mask.png,train/labels/single_rgb_000107.txt,train,1,square,B,101,33,93,25,109,41
train/images/single_rgb_000108.png,train/masks/single_rgb_000108_mask.png,train/labels/single_rgb_000108.txt,train,3,line_h,G,57,32,43,31,71,33
train/images/single_rgb_000109.png,train/masks/single_rgb_000109_mask.png,train/labels/single_rgb_000109.txt,train,4,line_v,G,67,45,66,26,68,64
train/images/single_rgb_000110.png,train/masks/single_rgb_000110_mask.png,train/labels/single_rgb_000110.txt,train,4,line_v,B,103,84,100,58,106,110
train/images/single_rgb_000111.png,train/masks/single_rgb_000111_mask.png,train/labels/single_rgb_000111.txt,train,0,point,R,21,50,19,48,23,52
train/images/single_rgb_000112.png,train/masks/single_rgb_000112_mask.png,train/labels/single_rgb_000112.txt,train,1,square,B,99,43,94,38,104,48
train/images/single_rgb_000113.png,train/masks/single_rgb_000113_mask.png,train/labels/single_rgb_000113.txt,train,0,point,R,23,31,21,29,25,33
train/images/single_rgb_000114.png,train/masks/single_rgb_000114_mask.png,train/labels/single_rgb_000114.txt,train,1,square,R,39,34,32,27,46,41
train/images/single_rgb_000115.png,train/masks/single_rgb_000115_mask.png,train/labels/single_rgb_000115.txt,train,2,circle,G,68,48,56,36,80,60
train/images/single_rgb_000116.png,train/masks/single_rgb_000116_mask.png,train/labels/single_rgb_000116.txt,train,4,line_v,G,64,81,61,68,67,94
train/images/single_rgb_000117.png,train/masks/single_rgb_000117_mask.png,train/labels/single_rgb_000117.txt,train,4,line_v,B,104,56,103,47,105,65
train/images/single_rgb_000118.png,train/masks/single_rgb_000118_mask.png,train/labels/single_rgb_000118.txt,train,1,square,G,71,59,64,52,78,66
train/images/single_rgb_000119.png,train/masks/single_rgb_000119_mask.png,train/labels/single_rgb_000119.txt,train,2,circle,R,25,52,12,39,38,65
train/images/single_rgb_000120.png,train/masks/single_rgb_000120_mask.png,train/labels/single_rgb_000120.txt,train,0,point,G,57,35,55,33,59,37
train/images/single_rgb_000121.png,train/masks/single_rgb_000121_mask.png,train/labels/single_rgb_000121.txt,train,3,line_h,G,61,30,47,27,75,33
train/images/single_rgb_000122.png,train/masks/single_rgb_000122_mask.png,train/labels/single_rgb_000122.txt,train,3,line_h,B,110,87,96,85,124,89
train/images/single_rgb_000123.png,train/masks/single_rgb_000123_mask.png,train/labels/single_rgb_000123.txt,train,1,square,B,92,44,85,37,99,51
train/images/single_rgb_000124.png,train/masks/single_rgb_000124_mask.png,train/labels/single_rgb_000124.txt,train,1,square,R,24,90,20,86,28,94
train/images/single_rgb_000125.png,train/masks/single_rgb_000125_mask.png,train/labels/single_rgb_000125.txt,train,3,line_h,R,28,58,13,57,43,59
train/images/single_rgb_000126.png,train/masks/single_rgb_000126_mask.png,train/labels/single_rgb_000126.txt,train,4,line_v,G,62,41,61,16,63,66
train/images/single_rgb_000127.png,train/masks/single_rgb_000127_mask.png,train/labels/single_rgb_000127.txt,train,0,point,R,20,81,16,77,24,85
train/images/single_rgb_000128.png,train/masks/single_rgb_000128_mask.png,train/labels/single_rgb_000128.txt,train,0,point,B,96,98,92,94,100,102
train/images/single_rgb_000129.png,train/masks/single_rgb_000129_mask.png,train/labels/single_rgb_000129.txt,train,1,square,B,105,86,97,78,113,94
train/images/single_rgb_000130.png,train/masks/single_rgb_000130_mask.png,train/labels/single_rgb_000130.txt,train,3,line_h,R,39,44,24,41,54,47
train/images/single_rgb_000131.png,train/masks/single_rgb_000131_mask.png,train/labels/single_rgb_000131.txt,train,4,line_v,R,25,40,22,21,28,59
train/images/single_rgb_000132.png,train/masks/single_rgb_000132_mask.png,train/labels/single_rgb_000132.txt,train,2,circle,B,98,88,92,82,104,94
train/images/single_rgb_000133.png,train/masks/single_rgb_000133_mask.png,train/labels/single_rgb_000133.txt,train,3,line_h,B,101,32,84,29,118,35
train/images/single_rgb_000134.png,train/masks/single_rgb_000134_mask.png,train/labels/single_rgb_000134.txt,train,3,line_h,R,25,44,3,42,47,46
train/images/single_rgb_000135.png,train/masks/single_rgb_000135_mask.png,train/labels/single_rgb_000135.txt,train,0,point,B,107,83,103,79,111,87
train/images/single_rgb_000136.png,train/masks/single_rgb_000136_mask.png,train/labels/single_rgb_000136.txt,train,4,line_v,R,40,55,37,25,43,85
train/images/single_rgb_000137.png,train/masks/single_rgb_000137_mask.png,train/labels/single_rgb_000137.txt,train,1,square,B,98,90,90,82,106,98
train/images/single_rgb_000138.png,train/masks/single_rgb_000138_mask.png,train/labels/single_rgb_000138.txt,train,2,circle,G,65,74,56,65,74,83
train/images/single_rgb_000139.png,train/masks/single_rgb_000139_mask.png,train/labels/single_rgb_000139.txt,train,2,circle,R,31,88,25,82,37,94
train/images/single_rgb_000140.png,train/masks/single_rgb_000140_mask.png,train/labels/single_rgb_000140.txt,train,3,line_h,R,28,38,5,35,51,41
train/images/single_rgb_000141.png,train/masks/single_rgb_000141_mask.png,train/labels/single_rgb_000141.txt,train,3,line_h,R,37,40,26,37,48,43
train/images/single_rgb_000142.png,train/masks/single_rgb_000142_mask.png,train/labels/single_rgb_000142.txt,train,0,point,G,75,69,72,66,78,72
train/images/single_rgb_000143.png,train/masks/single_rgb_000143_mask.png,train/labels/single_rgb_000143.txt,train,1,square,G,66,43,58,35,74,51
train/images/single_rgb_000144.png,train/masks/single_rgb_000144_mask.png,train/labels/single_rgb_000144.txt,train,0,point,G,62,32,58,28,66,36
train/images/single_rgb_000145.png,train/masks/single_rgb_000145_mask.png,train/labels/single_rgb_000145.txt,train,0,point,G,69,30,65,26,73,34
train/images/single_rgb_000146.png,train/masks/single_rgb_000146_mask.png,train/labels/single_rgb_000146.txt,train,3,line_h,B,95,50,66,49,124,51
train/images/single_rgb_000147.png,train/masks/single_rgb_000147_mask.png,train/labels/single_rgb_000147.txt,train,2,circle,G,66,29,58,21,74,37
train/images/single_rgb_000148.png,train/masks/single_rgb_000148_mask.png,train/labels/single_rgb_000148.txt,train,1,square,B,95,97,90,92,100,102
train/images/single_rgb_000149.png,train/masks/single_rgb_000149_mask.png,train/labels/single_rgb_000149.txt,train,2,circle,B,93,70,81,58,105,82
train/images/single_rgb_000150.png,train/masks/single_rgb_000150_mask.png,train/labels/single_rgb_000150.txt,train,2,circle,R,24,73,13,62,35,84
train/images/single_rgb_000151.png,train/masks/single_rgb_000151_mask.png,train/labels/single_rgb_000151.txt,train,2,circle,B,96,92,90,86,102,98
train/images/single_rgb_000152.png,train/masks/single_rgb_000152_mask.png,train/labels/single_rgb_000152.txt,train,4,line_v,G,68,30,66,4,70,56
train/images/single_rgb_000153.png,train/masks/single_rgb_000153_mask.png,train/labels/single_rgb_000153.txt,train,1,square,R,29,69,25,65,33,73
train/images/single_rgb_000154.png,train/masks/single_rgb_000154_mask.png,train/labels/single_rgb_000154.txt,train,0,point,R,22,64,19,61,25,67
train/images/single_rgb_000155.png,train/masks/single_rgb_000155_mask.png,train/labels/single_rgb_000155.txt,train,1,square,G,73,87,68,82,78,92
train/images/single_rgb_000156.png,train/masks/single_rgb_000156_mask.png,train/labels/single_rgb_000156.txt,train,4,line_v,B,102,94,100,74,104,114
train/images/single_rgb_000157.png,train/masks/single_rgb_000157_mask.png,train/labels/single_rgb_000157.txt,train,3,line_h,R,20,49,0,46,48,52
train/images/single_rgb_000158.png,train/masks/single_rgb_000158_mask.png,train/labels/single_rgb_000158.txt,train,3,line_h,B,96,93,82,90,110,96
train/images/single_rgb_000159.png,train/masks/single_rgb_000159_mask.png,train/labels/single_rgb_000159.txt,train,3,line_h,G,74,82,49,79,99,85
train/images/single_rgb_000160.png,train/masks/single_rgb_000160_mask.png,train/labels/single_rgb_000160.txt,train,0,point,R,20,44,17,41,23,47
train/images/single_rgb_000161.png,train/masks/single_rgb_000161_mask.png,train/labels/single_rgb_000161.txt,train,4,line_v,R,26,45,23,34,29,56
train/images/single_rgb_000162.png,train/masks/single_rgb_000162_mask.png,train/labels/single_rgb_000162.txt,train,0,point,R,24,57,21,54,27,60
train/images/single_rgb_000163.png,train/masks/single_rgb_000163_mask.png,train/labels/single_rgb_000163.txt,train,1,square,G,65,51,59,45,71,57
train/images/single_rgb_000164.png,train/masks/single_rgb_000164_mask.png,train/labels/single_rgb_000164.txt,train,1,square,G,73,47,66,40,80,54
train/images/single_rgb_000165.png,train/masks/single_rgb_000165_mask.png,train/labels/single_rgb_000165.txt,train,1,square,G,70,64,62,56,78,72
train/images/single_rgb_000166.png,train/masks/single_rgb_000166_mask.png,train/labels/single_rgb_000166.txt,train,4,line_v,B,110,77,107,64,113,90
train/images/single_rgb_000167.png,train/masks/single_rgb_000167_mask.png,train/labels/single_rgb_000167.txt,train,0,point,G,57,50,55,48,59,52
train/images/single_rgb_000168.png,train/masks/single_rgb_000168_mask.png,train/labels/single_rgb_000168.txt,train,4,line_v,G,69,97,67,69,71,125
train/images/single_rgb_000169.png,train/masks/single_rgb_000169_mask.png,train/labels/single_rgb_000169.txt,train,2,circle,G,62,90,56,84,68,96
train/images/single_rgb_000170.png,train/masks/single_rgb_000170_mask.png,train/labels/single_rgb_000170.txt,train,1,square,G,74,97,69,92,79,102
train/images/single_rgb_000171.png,train/masks/single_rgb_000171_mask.png,train/labels/single_rgb_000171.txt,train,4,line_v,G,74,58,71,35,77,81
train/images/single_rgb_000172.png,train/masks/single_rgb_000172_mask.png,train/labels/single_rgb_000172.txt,train,4,line_v,B,94,45,92,36,96,54
train/images/single_rgb_000173.png,train/masks/single_rgb_000173_mask.png,train/labels/single_rgb_000173.txt,train,0,point,G,71,62,69,60,73,64
train/images/single_rgb_000174.png,train/masks/single_rgb_000174_mask.png,train/labels/single_rgb_000174.txt,train,1,square,B,110,69,105,64,115,74
train/images/single_rgb_000175.png,train/masks/single_rgb_000175_mask.png,train/labels/single_rgb_000175.txt,train,0,point,R,28,58,25,55,31,61
train/images/single_rgb_000176.png,train/masks/single_rgb_000176_mask.png,train/labels/single_rgb_000176.txt,train,2,circle,R,35,36,27,28,43,44
train/images/single_rgb_000177.png,train/masks/single_rgb_000177_mask.png,train/labels/single_rgb_000177.txt,train,3,line_h,B,106,54,79,52,127,56
train/images/single_rgb_000178.png,train/masks/single_rgb_000178_mask.png,train/labels/single_rgb_000178.txt,train,3,line_h,B,104,83,81,81,127,85
train/images/single_rgb_000179.png,train/masks/single_rgb_000179_mask.png,train/labels/single_rgb_000179.txt,train,4,line_v,R,29,90,26,76,32,104
train/images/single_rgb_000180.png,train/masks/single_rgb_000180_mask.png,train/labels/single_rgb_000180.txt,train,0,point,B,111,92,109,90,113,94
train/images/single_rgb_000181.png,train/masks/single_rgb_000181_mask.png,train/labels/single_rgb_000181.txt,train,4,line_v,B,98,98,97,80,99,116
train/images/single_rgb_000182.png,train/masks/single_rgb_000182_mask.png,train/labels/single_rgb_000182.txt,train,4,line_v,B,99,97,97,77,101,117
train/images/single_rgb_000183.png,train/masks/single_rgb_000183_mask.png,train/labels/single_rgb_000183.txt,train,2,circle,G,75,73,66,64,84,82
train/images/single_rgb_000184.png,train/masks/single_rgb_000184_mask.png,train/labels/single_rgb_000184.txt,train,0,point,B,100,45,98,43,102,47
train/images/single_rgb_000185.png,train/masks/single_rgb_000185_mask.png,train/labels/single_rgb_000185.txt,train,1,square,G,62,35,58,31,66,39
train/images/single_rgb_000186.png,train/masks/single_rgb_000186_mask.png,train/labels/single_rgb_000186.txt,train,2,circle,R,36,50,23,37,49,63
train/images/single_rgb_000187.png,train/masks/single_rgb_000187_mask.png,train/labels/single_rgb_000187.txt,train,0,point,G,64,91,61,88,67,94
train/images/single_rgb_000188.png,train/masks/single_rgb_000188_mask.png,train/labels/single_rgb_000188.txt,train,1,square,G,72,54,67,49,77,59
train/images/single_rgb_000189.png,train/masks/single_rgb_000189_mask.png,train/labels/single_rgb_000189.txt,train,0,point,G,65,90,62,87,68,93
train/images/single_rgb_000190.png,train/masks/single_rgb_000190_mask.png,train/labels/single_rgb_000190.txt,train,3,line_h,G,56,29,36,26,76,32
train/images/single_rgb_000191.png,train/masks/single_rgb_000191_mask.png,train/labels/single_rgb_000191.txt,train,3,line_h,B,100,86,90,83,110,89
